player_name,college,rank,height,weight,bats/throws,hometown,drafted,debuted,travel_team,notes,class_year
Max Sapp,Florida State,16,6-2,210,L/R,"Orlando, FL",Rd 1 by Astros (2006),None,Orlando Scorpions,NULL,2006
Billy Rowell,Alabama,17,6-4,198,L/R,"Sewell, NJ",Rd 1 by Orioles (2006),None,Diamondjacks,NULL,2006
Adrian Cardenas,Florida,18,6-1,180,L/R,"Miami Lakes, FL",Rd 1 by Phillies (2006),Cubs (2012),All American Prospect,NULL,2006
Jake Locker,Washington,19,6-3,210,R/R,"Ferndale, WA",Rd 10 by Angels (2009),None,Baseball Washington West,NULL,2006
Colton Willems,Florida,20,6-4,185,R/R,"Fort Pierce, FL",Rd 1 by Nationals (2006),None,All American Prospects,NULL,2006
Derrick Robinson,Florida,21,6-1,175,S/L,"Archer, FL",Rd 4 by Royals (2006),Reds (2013),HS Team,NULL,2006
Ryan Adams,Louisiana State,22,6-1,180,R/R,"Mandeville, LA",Rd 2 by Orioles (2006),Orioles (2011),Billhood,NULL,2006
Cory Rasmus,Auburn,23,6-1,198,R/R,"Phenix City, AL",Rd 1 by Braves (2006),Braves (2013),OH Warhawks,NULL,2006
Jeff Inman,None,24,6-2,185,R/R,"Bakersfield, CA",Rd 12 by Pirates (2009),None,Eagles,NULL,2006
Lars Anderson,None,25,6-4,190,L/L,"Fair Oaks, CA",Rd 18 by Red Sox (2006),Red Sox (2010),Jesuit,NULL,2006
Kyler Burke,Vanderbilt,26,6-3,197,L/L,"Chattanooga, TN",Rd 1 Comp by Padres (2006),None,Chattanooga Cyclones,NULL,2006
Stephen King,Louisiana State,27,6-2,175,R/R,"Orlando, FL",Rd 3 by Nationals (2006),None,None,NULL,2006
David Christensen,Miami,28,6-1,202,R/R,"Parkland, FL",Rd 2 by Rockies (2006),None,Georgia Stars,NULL,2006
Devin Shepherd,Oklahoma,29,6-4,221,R/R,"Oxnard, CA",Rd 5 by Twins (2006),None,None,NULL,2006
Stephen Englund,Washington State,30,6-2,185,R/R,"Bellevue, WA",Rd 2 by Nationals (2006),None,Chaffey BBC,NULL,2006
Sean Black,Seton Hall,31,6-4,190,R/R,"Mt. Laurel, NJ",Rd 2 by Nationals (2006),None,Tri-State Arsenal,NULL,2006
Jeffrey Locke,None,32,6-2,180,L/L,"Conway, NH",Rd 2 by Braves (2006),Pirates (2011),Legion,NULL,2006
Sam Dyson,South Carolina,33,6-1,170,R/R,"Tampa, FL",Rd 4 by Blue Jays (2010),Blue Jays (2012),Hitmaster,NULL,2006
Aaron Miller,Baylor,34,6-3,190,L/L,"Channelview, TX",Rd 1 by Dodgers (2009),None,None,NULL,2006
Ryan Morris,Clemson,35,6-3,185,L/L,"Charlotte, NC",None,None,Impact Baseball,NULL,2006
Dustin Dickerson,Baylor,36,6-4,190,L/R,"McGregor, TX",Rd 6 by Marlins (2009),None,TX Blackhawks,NULL,2006
Grant Green,Southern California,37,6-3,170,R/R,"Anaheim, CA",Rd 1 by Athletics (2009),Athletics (2013),Saddleback Valley Devils,NULL,2006
Riley Cooper,Florida,38,6-3,200,R/R,"Seminole, FL",Rd 15 by Phillies (2006),None,Bombers,NULL,2006
Carmine Giardina,Texas,39,6-3,210,R/L,"Valrico, FL",Rd 15 by Angels (2010),None,Chet Lemon's Juice,NULL,2006
Robert Fish,None,40,6-2,205,L/L,"Fontana, CA",Rd 6 by Angels (2006),None,None,NULL,2006
Ryan Kalish,Virginia,41,6-1,190,L/L,"Shrewsbury, NJ",Rd 9 by Red Sox (2006),Red Sox (2010),HS team,NULL,2006
Andrew Oliver,Oklahoma State,42,6-3,200,L/L,"Vermillion, OH",Rd 2 by Tigers (2009),Tigers (2010),Midland Redskins,NULL,2006
Nathan Karns,Texas,43,6-4,225,R/R,"Arlington, TX",Rd 10 by Astros (2006),Nationals (2013),Midland Redskins,NULL,2006
Caleb Clay,Auburn,44,6-2,185,R/R,"Cullman, AL",None,None,Bama Bombers,NULL,2006
Nathan Bridges,Cal State Fullerton,45,6-1,170,R/R,"Yorba Linda, CA",None,None,None,NULL,2006
Kyle Smit,None,46,6-3,165,R/R,"Sparks, NV",Rd 5 by Dodgers (2006),None,Tribe,NULL,2006
Steven Evarts,None,47,6-4,190,L/L,"Tampa, FL",Rd 1 by Braves (2006),None,Tampa Bay Sluggers,NULL,2006
Zach Britton,Texas A&M,48,6-2,175,L/L,"Weatherford, TX",Rd 3 by Orioles (2006),Orioles (2011),None,NULL,2006
Chris Archer,Miami,49,6-3,180,R/R,"Clayton, NC",Rd 5 by Indians (2006),Rays (2012),Carolina Cubs,NULL,2006
Torre Langley,Georgia Tech,50,5-9,175,R/R,"Winston, GA",Rd 3 by Marlins (2006),None,EC Yankees,NULL,2006
Rick Porcello,North Carolina,1,6-5,195,R/R,"Chester, NJ",Rd 1 by Tigers (2007),Tigers (2009),Farrah's Builders,NULL,2007
Jason Heyward,UCLA,2,6-4,220,L/L,"McDonough, GA",Rd 1 by Braves (2007),Braves (2010),East Cobb Astros,NULL,2007
Josh Vitters,Arizona State,3,6-3,190,R/R,"Anaheim, CA",Rd 1 by Cubs (2007),Cubs (2012),USA,NULL,2007
Matt Harvey,North Carolina,4,6-4,195,R/R,"Mystic, CT",Rd 1 by Mets (2010),Mets (2012),Legion,NULL,2007
Madison Bumgarner,North Carolina,5,6-5,220,R/L,"Lenoir, NC",Rd 1 by Giants (2007),Giants (2009),Legion,NULL,2007
Josh Smoker,Clemson,6,6-2,190,L/L,"Sugar Valley, GA",Rd 1 Comp by Nationals (2007),Mets (2016),East Cobb Braves,NULL,2007
Blake Beavan,Oklahoma,7,6-7,210,R/R,"Irving, TX",Rd 1 by Rangers (2007),Mariners (2011),Dallas Tigers,NULL,2007
Jarrod Parker,Georgia Tech,8,6-1,175,R/R,"Bluffton, IN",Rd 1 by Diamondbacks (2007),Diamondbacks (2011),None,NULL,2007
Justin Jackson,Arizona State,9,6-2,175,R/R,"Asheville, NC",Rd 1 by Blue Jays (2007),None,Midland Redskins,NULL,2007
Michael Main,Florida State,10,6-2,180,R/R,"Deltona, FL",Rd 1 by Rangers (2007),None,Central FL Renegades,NULL,2007
Phillippe Aumont,None,11,6-5,210,R/R,"Gatineau, QC",Rd 1 by Mariners (2007),None,None,NULL,2007
Mike Moustakas,Southern California,12,6-0,185,L/R,"Northridge, CA",Rd 1 by Royals (2007),None,None,NULL,2007
Tim Alderson,Oregon State,13,6-7,208,R/R,"Phoenix, AZ",Rd 1 by Giants (2007),None,Arizona Smoke,NULL,2007
Michael Burgess,Arizona State,14,5-11,190,L/L,"Tampa, FL",Rd 1 by Nationals (2010),None,Florida Bombers,NULL,2007
Chris Withrow,Baylor,15,6-3,185,R/R,"Odessa, TX",Rd 1 by Dodgers (2007),Dodgers (2013),Bandits,NULL,2007
Matthew Dominguez,Cal State Fullerton,16,6-2,180,R/R,"Lake Balboa, CA",Rd 1 by Marlins (2007),None,None,NULL,2007
Neil Ramirez,Georgia Tech,17,6-3,190,R/R,"Virginia Beach, VA",Rd 1 by Rangers (2007),Cubs (2014),MD Orioles,NULL,2007
Nick Noonan,Clemson,18,6-1,175,L/R,"San Diego, CA",Rd 1 by Giants (2007),Giants (2013),ABD Bulldogs,NULL,2007
Julian Sampson,Washington,19,6-5,190,R/R,"Sammamish, WA",Rd 12 by Phillies (2007),None,None,NULL,2007
Peter Kozma,Wichita State,20,6-0,170,R/R,"Owasso, OK",Rd 1 by Cardinals (2007),Cardinals (2011),HS team,NULL,2007
Nevin Griffith,Florida International,21,6-2,185,R/R,"Brandon, FL",Rd 2 by White Sox (2007),None,Middleton,NULL,2007
Tanner Robles,Oregon State,22,6-4,190,L/L,"Murray, UT",Rd 9 by Reds (2010),None,None,NULL,2007
Jack McGeary,Stanford,23,6-4,215,L/L,"Newton, MA",Rd 6 by Nationals (2007),None,East Cobb Braves,NULL,2007
Kevin Ahrens,Texas A&M,24,6-1,187,S/R,"Houston, TX",Rd 1 by Blue Jays (2007),None,Houston Heat,NULL,2007
Ryan Dent,UCLA,25,6-0,185,R/R,"Long Beach, CA",Rd 1 Comp by Red Sox (2007),None,Midland Redskins,NULL,2007
Casey Crosby,Illinois,26,6-4,190,R/L,"Elburn, IL",Rd 5 by Tigers (2007),Tigers (2012),Top Tier-Orioles,NULL,2007
Nathan Vineyard,None,27,6-3,200,L/L,"Emerson, GA",Rd 1 by Mets (2007),None,East Cobb Yankee's,NULL,2007
Justin Grimm,Georgia,28,6-4,175,R/R,"Bristol, VA",Rd 5 by Rangers (2010),Rangers (2012),Virginia,NULL,2007
Kentrail Davis,Tennessee,29,5-9,195,L/R,"Theodore, AL",Rd 1 by Brewers (2009),None,Bama Bombers,NULL,2007
John Tolisano,Florida,30,6-0,190,S/R,"Sanibel, FL",Rd 2 by Blue Jays (2007),None,All American Prospects,NULL,2007
Greg Peavey,Oregon State,31,6-2,185,R/R,"Vancouver, WA",Rd 6 by Mets (2010),None,Seattle Stars Baseball,NULL,2007
Devin Mesoraco,Virginia,32,6-0,200,R/R,"Punxsutawney, PA",Rd 1 by Reds (2007),Reds (2011),None,NULL,2007
Wendell Fairley,Southern Miss,33,6-2,175,L/L,"Lucedale, MS",Rd 1 by Giants (2007),None,None,NULL,2007
Kyle Blair,San Diego,34,6-4,200,R/R,"Monte Sereno, CA",Rd 4 by Indians (2010),None,NorCal,NULL,2007
Jon Gilmore,Wichita State,35,6-3,190,R/R,"Iowa City, IA",Rd 1 by Braves (2007),None,HS team,NULL,2007
Derek Dietrich,Georgia Tech,36,6-2,185,L/R,"Parma, OH",Rd 2 by Rays (2010),Marlins (2013),None,NULL,2007
Angel Morales,None,37,6-1,185,R/R,"Arroyo, PR",Rd 3 by Twins (2007),None,Jets,NULL,2007
Yasmani Grandal,Miami,38,6-2,205,S/R,"Hialeah, FL",Rd 1 by Reds (2010),Padres (2012),Bombers,NULL,2007
Christian Colon,Cal State Fullerton,39,5-11,175,S/R,"Anaheim Hills, CA",Rd 1 by Royals (2010),Royals (2014),None,NULL,2007
Evan Danieli,Notre Dame,40,6-8,225,R/R,"East Hanover, NJ",Rd 24 by Braves (2010),None,NJ Twins,NULL,2007
Will Middlebrooks,Texas A&M,41,6-4,215,R/R,"Wake Village, TX",Rd 5 by Red Sox (2007),Red Sox (2012),None,NULL,2007
Dan Duffy,Cal Poly,42,6-3,190,L/L,"Lompoc, CA",Rd 3 by Royals (2007),Royals (2011),Wahoos,NULL,2007
Hunter Morris,Auburn,43,6-4,200,L/R,"Huntsville, AL",Rd 2 by Red Sox (2007),None,East Cobb Braves,NULL,2007
Scott Moviel,North Carolina State,44,6-10,245,R/R,"Berea, OH",Rd 2 by Mets (2007),None,None,NULL,2007
Matt Presley,Arizona,45,6-2,197,R/R,"Colorado Springs, CO",Rd 24 by Red Sox (2007),None,None,NULL,2007
Kevin Patterson,Auburn,46,6-4,215,L/R,"Birmingham, AL",Rd 23 by Rays (2010),None,Cahaba Mudcats,NULL,2007
Kyle Lotzkar,Gonzaga,47,6-3,185,L/R,"Delta, BC",Rd 1 Comp by Reds (2007),None,None,NULL,2007
Travis Mattair,Oregon State,48,6-4,210,R/R,"Kennewick, WA",Rd 2 by Phillies (2007),None,None,NULL,2007
Drew Cumberland,Louisiana State,49,5-10,155,L/R,"Pace, FL",Rd 1 Comp by Padres (2007),None,Pensacola Angels,NULL,2007
John Bachanov,None,50,6-4,200,R/R,"Orlando, FL",Rd 1 Comp by Angels (2007),None,Chet Lemon's Juice,NULL,2007
Kyle Skipworth,Arizona State,1,6-3,195,L/R,"Riverside, CA",Rd 1 by Marlins (2008),Marlins (2013),ABD Bulldogs,NULL,2008
Gerrit Cole,UCLA,2,6-3,190,R/R,"Santa Ana, CA",Rd 1 by Pirates (2011),Pirates (2013),Orange County Dawgs,NULL,2008
Tim Beckham,Southern California,3,6-2,191,R/R,"Griffin, GA",Rd 1 by Rays (2008),Rays (2013),Atlanta Blue Jays,NULL,2008
Eric Hosmer,Arizona State,4,6-4,210,L/L,"Cooper City, FL",Rd 1 by Royals (2008),Royals (2011),Midland Redskins,NULL,2008
Ethan Martin,Clemson,5,6-3,200,R/R,"Toccoa, GA",Rd 1 by Dodgers (2008),Phillies (2013),East Cobb Braves,NULL,2008
Aaron Hicks,Southern California,6,6-1,160,S/R,"Long Beach, CA",Rd 1 by Twins (2008),Twins (2013),SGV Arsenal,NULL,2008
Tim Melville,North Carolina,7,6-5,205,R/R,"Wentzville, MO",Rd 4 by Royals (2008),Reds (2016),Richmond Braves,NULL,2008
Brett DeVall,Georgia,8,6-4,205,R/L,"Niceville, FL",Rd 1 by Braves (2008),None,East Cobb Astros,NULL,2008
Casey Kelly,Tennessee,9,6-3,190,R/R,"Sarasota, FL",Rd 1 by Red Sox (2008),Padres (2012),None,NULL,2008
Harold Martinez,Miami,10,6-3,185,R/R,"Miami, FL",Rd 2 by Phillies (2011),None,Miami Legends,NULL,2008
Alex Meyer,Kentucky,11,6-7,200,R/R,"Greensburg, IN",Rd 1 by Nationals (2011),Twins (2015),Indiana Bulls,NULL,2008
Daniel Webb,None,12,6-3,205,R/R,"Paducah, KY",Rd 12 by Diamondbacks (2008),White Sox (2013),Southern IL Bullets,NULL,2008
Ezekiel Spruill,Georgia,13,6-3,185,R/R,"Marietta, GA",Rd 2 by Braves (2008),Diamondbacks (2013),ECB Braves,NULL,2008
Sonny Gray,Vanderbilt,14,6-0,185,R/R,"Smyrna, TN",Rd 1 by Athletics (2011),Athletics (2013),Brentwood A's,NULL,2008
Jake Odorizzi,Louisville,15,6-2,175,R/R,"Highland, IL",Rd 1 by Brewers (2008),Royals (2012),St Louis Pirates,NULL,2008
BJ Hermsen,Oregon State,16,6-6,230,R/R,"Masonville, IA",Rd 6 by Twins (2008),None,HS team,NULL,2008
Xavier Avery,Georgia,17,6-0,185,L/L,"Decatur, GA",Rd 2 by Orioles (2008),Orioles (2012),East Cobb Braves,NULL,2008
Robbie Grossman,Texas,18,6-1,195,S/L,"Cypress, TX",Rd 6 by Pirates (2008),Astros (2013),Houston Kyle Chapman Blue,NULL,2008
Quinton Miller,North Carolina,19,6-2,178,R/R,"Medford, NJ",Rd 20 by Pirates (2008),None,Tri State Arsenal,NULL,2008
Robbie Ross,Kentucky,20,5-11,180,L/L,"Nicholasville, KY",Rd 2 by Rangers (2008),Rangers (2012),KY BB Club,NULL,2008
Rolando Gomez,Miami,21,5-9,150,L/R,"Pembroke Pines, FL",Rd 11 by Angels (2008),None,All American Prospects,NULL,2008
Anthony Gose,Arizona,22,6-0,170,L/L,"Bellflower, CA",Rd 2 by Phillies (2008),Blue Jays (2012),Bellflower Bandits,NULL,2008
Isaac Galloway,San Diego State,23,6-3,190,R/R,"Rancho Cucamonga, CA",Rd 8 by Marlins (2008),Marlins (2018),Legion,NULL,2008
Joseph (Jay) Austin,Southern California,24,6-1,180,L/L,"Atlanta, GA",Rd 2 by Astros (2008),None,East Cobb Astros,NULL,2008
Tyler Sample,Arkansas,25,6-7,220,L/R,"Elizabeth, CO",Rd 3 by Royals (2008),None,Slammers Blue,NULL,2008
Ross Seaton,Tulane,26,6-4,185,L/R,"Sugar Land, TX",Rd 3 by Astros (2008),None,Fort Bend Texans,NULL,2008
Jason Knapp,North Carolina,27,6-5,225,R/R,"Annandale, NJ",Rd 2 by Phillies (2008),None,South FL Bandits/Diamondjacks,NULL,2008
Destin Hood,Alabama,28,6-2,185,R/R,"Eight Mile (Mobile), AL",Rd 2 by Nationals (2008),None,None,NULL,2008
Anthony Hewitt,Vanderbilt,29,6-1,190,R/R,"Brooklyn, NY",Rd 1 by Phillies (2008),None,Bonnies Monarchs,NULL,2008
Brett Mooneyham,Stanford,30,6-4,215,L/L,"Merced, CA",Rd 3 by Nationals (2012),None,None,NULL,2008
Michael Palazzone,Georgia,31,6-3,190,R/R,"Marietta, GA",Rd 18 by Braves (2008),None,East Cobb Braves,NULL,2008
Ricky Oropesa,Southern California,32,6-2,215,L/R,"Rancho Cucamonga, CA",Rd 3 by Giants (2011),None,San Gabriel Valley Arsenal,NULL,2008
Brett Lawrie,Arizona State,33,6-0,190,R/R,"Langley, BC",Rd 1 by Brewers (2008),Blue Jays (2011),None,NULL,2008
Michael Montgomery,Cal State Fullerton,34,6-3,170,L/L,"Valencia, CA",Rd 36 by Royals (2008),None,None,NULL,2008
Kyle Lobstein,Arizona,35,6-3,180,L/L,"Flagstaff, AZ",Rd 2 by Rays (2008),None,None,NULL,2008
Tyler Stovall,Auburn,36,6-1,185,L/L,"Hokes Bluff, AL",Rd 2 by Braves (2008),None,None,NULL,2008
Daniel Marrs,Wake Forest,37,6-3,200,R/R,"Midlothian, VA",Rd 40 by Phillies (2008),None,"NABF, VA Cardinals",NULL,2008
Trey Haley,Rice,38,6-4,185,R/R,"San Augustine, TX",Rd 2 by Indians (2008),None,SE Texas Sun Devils,NULL,2008
J P Ramirez,Tulane,39,5-10,180,L/L,"New Braunfels, TX",Rd 15 by Nationals (2008),None,San Antonio Hackers/Florida Bombers,NULL,2008
Kyle Long,Florida State,40,6-7,280,L/L,"Ivy, VA",Rd 23 by White Sox (2008),None,None,NULL,2008
Tyler Chatwood,UCLA,41,6-0,185,R/R,"Yucaipa, CA",Rd 2 by Angels (2008),Angels (2011),ABD,NULL,2008
Brad Hand,Arizona State,42,6-2,205,L/L,"Chaska, MN",Rd 2 by Marlins (2008),Marlins (2011),Legion,NULL,2008
Nick Maronde,Florida,43,6-3,195,S/L,"Lexington, KY",Rd 3 by Angels (2011),Angels (2012),Orlando Scorpions,NULL,2008
Zach Collier,None,44,6-2,185,L/L,"Chino Hills, CA",Rd 1 by Phillies (2008),None,Chino Hills Storm,NULL,2008
Danny Hultzen,Virginia,45,6-0,180,L/L,"Bethesda, MD",Rd 1 by Mariners (2011),Cubs (2019),Richmond Braves National '08,NULL,2008
Matt Marquis,Vanderbilt,46,6-1,190,R/R,"Annandale, NJ",Rd 28 by Red Sox (2008),None,NJ Super 17's,NULL,2008
Zack Cox,Arkansas,47,6-0,205,L/R,"Louisville, KY",Rd 1 by Cardinals (2010),None,Louisville Lumberjaxx,NULL,2008
Wesley Freeman,UCF,48,6-4,210,R/R,"Lakeland, FL",Rd 16 by Pirates (2008),None,Team IBC,NULL,2008
Taylor Jungmann,Texas,49,6-5,180,R/R,"Geogetown, TX",Rd 1 by Brewers (2011),Brewers (2015),None,NULL,2008
Clark Murphy,UCLA,50,6-3,200,L/L,"Fallbrook, CA",Rd 5 by Rangers (2008),None,San Diego Show,NULL,2008
Tyler Matzek,Oregon,1,6-3,185,L/L,"Mission Viejo, CA",Rd 1 by Rockies (2009),Rockies (2014),Trombly Braves,NULL,2009
Matthew Purke,TCU,2,6-3,170,L/L,"Spring, TX",Rd 1 by Rangers (2009),Nationals (2016),Houston Heat,NULL,2009
Donavan Tate,North Carolina,3,6-3,200,R/R,"Cartersville, GA",Rd 1 by Padres (2009),None,East Cobb Braves 17U,NULL,2009
Zack Wheeler,Kennesaw State,4,6-4,180,S/R,"Dallas, GA",Rd 1 by Giants (2009),Mets (2013),East Cobb Braves,NULL,2009
Jacob Turner,North Carolina,5,6-4,205,R/R,"St Charles, MO",Rd 1 by Tigers (2009),Tigers (2011),Rawlings Prospects,NULL,2009
Shelby Miller,Texas A&M,6,6-3,195,R/R,"Brownwood, TX",Rd 1 by Cardinals (2009),Cardinals (2012),Austin Slam,NULL,2009
Matt Hobgood,Cal State Fullerton,7,6-4,240,R/R,"Norco, CA",Rd 1 by Orioles (2009),None,Trombly Braves,NULL,2009
Mike Trout,East Carolina,8,6-2,190,R/R,"Millville, NJ",Rd 1 by Angels (2009),Angels (2011),Tri-State Arsenal 15u,NULL,2009
Bobby Borchering,Florida,9,6-4,194,S/R,"Alva, FL",Rd 1 by Diamondbacks (2009),None,FL Raiders Scout Team,NULL,2009
Keyvius Sampson,Florida State,10,6-1,185,R/R,"Ocala, FL",Rd 4 by Padres (2009),Reds (2015),Winning Silver,NULL,2009
Matt Davidson,Southern California,11,6-3,205,R/R,"Yucaipa, CA",Rd 1 by Diamondbacks (2009),Diamondbacks (2013),ABD Bulldogs,NULL,2009
Max Stassi,UCLA,12,5-10,187,R/R,"Yuba City, CA",Rd 4 by Athletics (2009),Astros (2013),HS team,NULL,2009
Jiovanni Mier,Southern California,13,6-2,170,R/R,"Pomona, CA",Rd 1 by Astros (2009),None,ABD Bulldogs,NULL,2009
Nick Franklin,Auburn,14,6-1,180,S/R,"Longwood, FL",Rd 1 by Mariners (2009),Mariners (2013),Orlando Scorpions,NULL,2009
Wil Myers,South Carolina,15,6-3,190,R/R,"Thomasville, NC",Rd 3 by Royals (2009),Rays (2013),Dirt Bags,NULL,2009
Chad James,Oklahoma State,16,6-4,200,L/L,"Yukon, OK",Rd 1 by Marlins (2009),None,Midwest Wolverines,NULL,2009
Slade Heathcott,Louisiana State,17,6-1,196,L/L,"Texarkana, TX",Rd 1 by Yankees (2009),Yankees (2015),Dallas Bats,NULL,2009
Everett Williams,Texas,18,5-10,195,L/R,"Austin, TX",Rd 2 by Padres (2009),None,None,NULL,2009
David Renfroe,Mississippi,19,6-3,200,R/R,"Batesville, MS",Rd 3 by Red Sox (2009),None,Dulins Dodgers,NULL,2009
Brody Colvin,Louisiana State,20,6-4,190,R/R,"Lafayette, LA",Rd 7 by Phillies (2009),None,None,NULL,2009
Luke Bailey,Auburn,21,6-0,195,R/R,"LaGrange, GA",Rd 4 by Rays (2009),None,Georgia Roadrunners,NULL,2009
Mychal Givens,Oklahoma State,22,6-2,185,S/R,"Tampa, FL",Rd 2 by Orioles (2009),Orioles (2015),None,NULL,2009
Brooks Pounders,Southern California,23,6-5,220,R/R,"Temecula, CA",Rd 2 by Pirates (2009),Royals (2016),ABD Bulldogs/Trombly Braves,NULL,2009
Tommy Joseph,Arizona,24,6-1,210,R/R,"Phoenix, AZ",Rd 2 by Giants (2009),Phillies (2016),Scottsdale Storm,NULL,2009
Steven Matz,Coastal Carolina,25,6-2,185,R/L,"Stony Brook, NY",Rd 2 by Mets (2009),Mets (2015),Paveco Storm Black,NULL,2009
Randal Grichuk,Arizona,26,6-0,190,R/R,"Rosenberg, TX",Rd 1 by Angels (2009),Cardinals (2014),Fort Bend Texans,NULL,2009
Colton Cain,Texas,27,6-3,230,L/L,"Waxahachie, TX",Rd 8 by Pirates (2009),None,Dallas Tigers,NULL,2009
Andrew Susac,Oregon State,28,6-1,190,R/R,"Roseville, CA",Rd 2 by Giants (2011),Giants (2014),EDH Vipers,NULL,2009
Garrett Gould,Wichita State,29,6-4,190,R/R,"Wichita, KS",Rd 2 by Dodgers (2009),None,Midwest Wolverines,NULL,2009
Jake Barrett,Arizona State,30,6-3,235,R/R,"Mesa, AZ",Rd 3 by Diamondbacks (2012),Diamondbacks (2016),ATB,NULL,2009
Michael Heller,Florida,31,6-2,180,R/R,"Bradenton, FL",Rd 29 by Pirates (2009),None,FL Raiders,NULL,2009
JR Murphy,Miami,32,6-0,180,R/R,"Bradenton, FL",Rd 2 by Yankees (2009),Yankees (2013),None,NULL,2009
Austin Maddox,Florida,33,6-3,220,R/R,"Jacksonville, FL",Rd 3 by Red Sox (2012),Red Sox (2017),Team Mizuno,NULL,2009
Brian Goodwin,South Carolina,34,6-0,185,L/R,"Rocky Mount, NC",Rd 1 Comp by Nationals (2011),Nationals (2016),None,NULL,2009
Reymond Fuentes,None,35,6-1,165,L/L,"Manati, PR",Rd 1 by Red Sox (2009),Padres (2013),Bayamon Team,NULL,2009
Tyler Skaggs,Cal State Fullerton,36,6-5,180,L/L,"Venice, CA",Rd 1 by Angels (2009),Diamondbacks (2012),None,NULL,2009
Chris Owings,South Carolina,37,5-10,165,R/R,"Leesville, SC",Rd 1 by Diamondbacks (2009),None,Diamond Devils 16's,NULL,2009
LeVon Washington,Florida,38,5-10,170,L/R,"Gainesville, FL",Rd 1 by Rays (2009),None,FL Hardballers,NULL,2009
Jake Marisnick,Oregon,39,6-4,200,R/R,"Riverside, CA",Rd 3 by Blue Jays (2009),Marlins (2013),None,NULL,2009
Billy Hamilton,None,40,6-0,150,S/R,"Taylorsville, MS",Rd 2 by Reds (2009),Reds (2013),None,NULL,2009
Scott Griggs,UCLA,41,6-2,185,R/R,"Alamo, CA",Rd 8 by Dodgers (2012),None,NorCal Baseball,NULL,2009
Madison Younginer,Clemson,42,6-3,185,R/R,"Simpsonville, SC",Rd 7 by Red Sox (2009),Braves (2016),Upstate Mavericks,NULL,2009
Daniel Fields,Michigan,43,6-1,190,L/R,"Detroit, MI",None,Tigers (2015),None,NULL,2009
Dane Williams,North Carolina State,44,6-6,205,L/R,"Ft Lauderdale, FL",Rd 15 by White Sox (2009),None,All American Prospects,NULL,2009
Daniel Tuttle,North Carolina State,45,6-2,185,R/R,"Randleman, NC",Rd 5 by Reds (2009),None,Georgia Roadrunners,NULL,2009
"Ryan ""Scooter"" Gennett",Florida State,46,5-10,170,L/R,"Sarasota, FL",Rd 16 by Brewers (2009),Brewers (2013),Midland,NULL,2009
Sam Selman,Vanderbilt,47,6-3,165,R/L,"Austin, TX",Rd 2 by Royals (2012),Giants (2019),ABC (Austin Baseball Club),NULL,2009
David Nick,UCLA,48,6-2,175,R/R,"Cypress, CA",Rd 4 by Diamondbacks (2009),None,ABD Bulldogs,NULL,2009
Trayce Thompson,UCLA,49,6-5,195,R/R,"Ladera Ranch, CA",Rd 2 by White Sox (2009),White Sox (2015),ASD Bulldogs,NULL,2009
Deven Marrero,Arizona State,50,6-1,180,R/R,"Davie, FL",Rd 1 by Red Sox (2012),Red Sox (2015),Midland Redskins,NULL,2009
Jameson Taillon,Rice,1,6-7,230,R/R,"The Woodlands, TX",Rd 1 by Pirates (2010),Pirates (2016),Kyle Chapman,NULL,2010
Kaleb Cowart,Florida State,2,6-3,190,S/R,"Adel, GA",Rd 1 by Angels (2010),Angels (2015),East Cobb Astros,NULL,2010
Manny Machado,Florida International,3,6-2,180,R/R,"Hialeah, FL",Rd 1 by Orioles (2010),Orioles (2012),Florida Legends,NULL,2010
Stetson Allie,North Carolina,4,6-4,225,R/R,"Olmsted Falls, OH",Rd 2 by Pirates (2010),None,East Cobb Braves,NULL,2010
Dylan Covey,San Diego,5,6-2,200,R/R,"Pasadena, CA",Rd 1 by Brewers (2010),White Sox (2017),SGV Arsenal,NULL,2010
Justin O'Conner,Arkansas,6,6-1,190,R/R,"Muncie, IN",Rd 1 by Rays (2010),None,None,NULL,2010
AJ Cole,Miami,7,6-5,190,R/R,"Winter Springs, FL",Rd 4 by Nationals (2010),Nationals (2015),Orlando Scorpions Black,NULL,2010
Karsten Whitson,Florida,8,6-4,190,R/R,"Chipley, FL",Rd 1 by Padres (2010),None,East Cobb Braves,NULL,2010
Yordy Cabrera,Miami,9,6-4,190,R/R,"Lakeland, FL",Rd 2 by Athletics (2010),None,All American Prospects,NULL,2010
Josh Sale,Gonzaga,10,6-0,203,L/R,"Seattle, WA",Rd 1 by Rays (2010),None,WA Brewers,NULL,2010
DeAndre Smelter,Georgia Tech,11,6-4,205,R/R,"Macon, GA",Rd 14 by Twins (2010),None,Tattnall,NULL,2010
Nick Castellanos,Miami,12,6-3,180,R/R,"Davie, FL",Rd 1 Comp by Tigers (2010),Tigers (2013),All American Prospects,NULL,2010
Peter Tago,Cal State Fullerton,13,6-1,160,R/R,"Laguna Niguel, CA",Rd 1 Comp by Rockies (2010),None,Midland Braves,NULL,2010
Aaron Sanchez,Oregon,14,6-3,170,R/R,"Barstow, CA",Rd 1 Comp by Blue Jays (2010),Blue Jays (2014),San Gabriel Valley Arsenal,NULL,2010
Austin Wilson,Stanford,15,6-4,200,R/R,"Los Angeles, CA",Rd 2 by Mariners (2013),None,ABD Bulldogs,NULL,2010
